lat,lon,value,geometry
-37.96841936027422,145.2131174043345,43,POINT (145.2131174043345 -37.96841936027422)
-37.941100749927934,144.75233996604368,43,POINT (144.75233996604368 -37.941100749927934)
-37.81681546470056,145.11969954162993,31,POINT (145.11969954162993 -37.81681546470056)
-38.02516966745408,145.2137314698867,2,POINT (145.2137314698867 -38.02516966745408)
-37.89456608766566,144.8744539205808,87,POINT (144.8744539205808 -37.89456608766566)
-38.07658926166071,145.04830103850344,65,POINT (145.04830103850344 -38.07658926166071)
-37.71125600778746,145.13362734539487,14,POINT (145.13362734539487 -37.71125600778746)
-37.88721624614731,145.07110555935196,73,POINT (145.07110555935196 -37.88721624614731)
-37.90119416504444,144.96423219010055,93,POINT (144.96423219010055 -37.90119416504444)
-37.9726168838753,145.05412728977552,53,POINT (145.05412728977552 -37.9726168838753)
-37.99804452008435,144.75179931481134,46,POINT (144.75179931481134 -37.99804452008435)
-37.981644410461314,144.8922271810106,60,POINT (144.8922271810106 -37.981644410461314)
-37.88537010207036,145.04751251667676,8,POINT (145.04751251667676 -37.88537010207036)
-37.739807589606826,144.59154373991697,14,POINT (144.59154373991697 -37.739807589606826)
-37.713677617482055,145.05712779219087,38,POINT (145.05712779219087 -37.713677617482055)
-37.789186304458134,144.79647144593432,71,POINT (144.79647144593432 -37.789186304458134)
-38.086534919691175,145.00001234146612,83,POINT (145.00001234146612 -38.086534919691175)
-37.95135450509842,144.60806619587498,30,POINT (144.60806619587498 -37.95135450509842)
-38.00202166836554,144.99159929523546,33,POINT (144.99159929523546 -38.00202166836554)
-37.87145474444283,144.8956509080636,27,POINT (144.8956509080636 -37.87145474444283)
-37.87864941168598,144.76669121456618,38,POINT (144.76669121456618 -37.87864941168598)
-37.75637296267444,144.93094933842502,91,POINT (144.93094933842502 -37.75637296267444)
-38.05016423125208,144.75193041751274,15,POINT (144.75193041751274 -38.05016423125208)
-37.992304358841906,144.9967532379266,67,POINT (144.9967532379266 -37.992304358841906)
-37.86562389184294,145.06168151468395,42,POINT (145.06168151468395 -37.86562389184294)
-37.8181443378042,145.0708855869394,69,POINT (145.0708855869394 -37.8181443378042)
-37.85095021783077,144.79757160293912,24,POINT (144.79757160293912 -37.85095021783077)
-37.85802711506271,144.94597027436217,5,POINT (144.94597027436217 -37.85802711506271)
-37.97545478133742,145.14998891482145,38,POINT (145.14998891482145 -37.97545478133742)
-37.893542143405,144.9815507892944,99,POINT (144.9815507892944 -37.893542143405)
-37.98974802982228,145.11202501258052,64,POINT (145.11202501258052 -37.98974802982228)
-37.84739554627159,144.88662411623616,31,POINT (144.88662411623616 -37.84739554627159)
-37.95770429672929,144.8777547577347,60,POINT (144.8777547577347 -37.95770429672929)
-37.912470595862224,145.22186139074918,65,POINT (145.22186139074918 -37.912470595862224)
-37.80141333260482,144.7846808757606,20,POINT (144.7846808757606 -37.80141333260482)
-37.88434399589226,144.8906701893841,62,POINT (144.8906701893841 -37.88434399589226)
-38.02771949277134,145.03289918600075,64,POINT (145.03289918600075 -38.02771949277134)
-37.85929952168815,145.0886562403319,63,POINT (145.0886562403319 -37.85929952168815)
-37.78437446685052,144.9791958934223,55,POINT (144.9791958934223 -37.78437446685052)
-37.92394953085027,144.90514604191858,99,POINT (144.90514604191858 -37.92394953085027)
-37.89551514828353,144.74987616842054,50,POINT (144.74987616842054 -37.89551514828353)
-37.92326515245579,145.09692748460714,25,POINT (145.09692748460714 -37.92326515245579)
-38.04158826077423,144.864665723318,72,POINT (144.864665723318 -38.04158826077423)
-38.00818693794878,144.94748717783918,28,POINT (144.94748717783918 -38.00818693794878)
-37.80587143801319,144.99172941908472,0,POINT (144.99172941908472 -37.80587143801319)
-37.92122956844636,144.60561044889351,44,POINT (144.60561044889351 -37.92122956844636)
-37.82484829768117,144.93623003621138,17,POINT (144.93623003621138 -37.82484829768117)
-37.997362623916544,145.12101674017066,56,POINT (145.12101674017066 -37.997362623916544)
-37.925655698141405,145.21913811613217,80,POINT (145.21913811613217 -37.925655698141405)
-37.85627092142603,145.0350367557338,42,POINT (145.0350367557338 -37.85627092142603)
-38.035422990071986,145.09431475266427,52,POINT (145.09431475266427 -38.035422990071986)
-37.983103226479365,145.1516265317585,54,POINT (145.1516265317585 -37.983103226479365)
-37.7951626419574,144.765016608963,14,POINT (144.765016608963 -37.7951626419574)
-37.85632985577043,144.83228365841586,80,POINT (144.83228365841586 -37.85632985577043)
-37.863401523729344,145.0841055668373,74,POINT (145.0841055668373 -37.863401523729344)
-37.8886003292405,144.87039805910032,5,POINT (144.87039805910032 -37.8886003292405)
-38.04421540716794,145.0466058369148,4,POINT (145.0466058369148 -38.04421540716794)
-37.974543529427294,144.5951500299445,30,POINT (144.5951500299445 -37.974543529427294)
-38.06098979681025,144.76887692917364,7,POINT (144.76887692917364 -38.06098979681025)
-37.929203803414346,144.90758379356308,33,POINT (144.90758379356308 -37.929203803414346)
-38.02482735196001,145.20270671976758,26,POINT (145.20270671976758 -38.02482735196001)
-38.06389355899692,144.78945847849138,96,POINT (144.78945847849138 -38.06389355899692)
-38.01976004073064,145.00182783673395,40,POINT (145.00182783673395 -38.01976004073064)
-37.72999652321169,145.05109464995786,53,POINT (145.05109464995786 -37.72999652321169)
-37.954760226447526,144.9579189862308,72,POINT (144.9579189862308 -37.954760226447526)
-37.873715253688566,144.7503860674537,53,POINT (144.7503860674537 -37.873715253688566)
-38.008373241083014,145.17521868397475,58,POINT (145.17521868397475 -38.008373241083014)
-37.80648577561917,145.07155688360032,69,POINT (145.07155688360032 -37.80648577561917)
-37.92124203133456,145.1790055707364,66,POINT (145.1790055707364 -37.92124203133456)
-37.880103064971244,145.18016858121192,70,POINT (145.18016858121192 -37.880103064971244)
-37.779787017190586,144.63114127301597,63,POINT (144.63114127301597 -37.779787017190586)
-37.86993944657707,145.304995676936,74,POINT (145.304995676936 -37.86993944657707)
-37.878624916460716,144.54372744211463,66,POINT (144.54372744211463 -37.878624916460716)
-37.839060871746966,144.79843431706107,29,POINT (144.79843431706107 -37.839060871746966)
-37.903426008107786,145.02108356496416,9,POINT (145.02108356496416 -37.903426008107786)
-38.162058421071386,144.83562905601696,78,POINT (144.83562905601696 -38.162058421071386)
-37.88712353470115,145.1194421360776,93,POINT (145.1194421360776 -37.88712353470115)
-37.850039866159946,144.98194896547977,18,POINT (144.98194896547977 -37.850039866159946)
-37.88545247027165,144.9730157716391,48,POINT (144.9730157716391 -37.88545247027165)
-37.95759672579697,145.16107509158422,24,POINT (145.16107509158422 -37.95759672579697)
-37.831962033414754,144.88781690606478,87,POINT (144.88781690606478 -37.831962033414754)
-37.871858032149994,144.9839105224355,55,POINT (144.9839105224355 -37.871858032149994)
-37.895966028013426,145.0456071873955,95,POINT (145.0456071873955 -37.895966028013426)
-37.929930110167845,145.2245136903393,79,POINT (145.2245136903393 -37.929930110167845)
-37.84823762326971,145.08008108442752,82,POINT (145.08008108442752 -37.84823762326971)
-37.86508593140253,145.0555551123617,95,POINT (145.0555551123617 -37.86508593140253)
-37.85549773737734,145.2362540844349,27,POINT (145.2362540844349 -37.85549773737734)
-37.92504348911931,144.78778018024963,36,POINT (144.78778018024963 -37.92504348911931)
-37.95896060763364,145.1676023829593,11,POINT (145.1676023829593 -37.95896060763364)
-37.86587513120675,144.95926553031336,29,POINT (144.95926553031336 -37.86587513120675)
-37.950516379316674,144.79632187191606,55,POINT (144.79632187191606 -37.950516379316674)
-37.937429846374116,144.90682019152638,56,POINT (144.90682019152638 -37.937429846374116)
-37.92907814578932,145.18923942110797,40,POINT (145.18923942110797 -37.92907814578932)
-37.93399418983664,144.97784418668363,19,POINT (144.97784418668363 -37.93399418983664)
-37.81987349104828,144.95126869749143,62,POINT (144.95126869749143 -37.81987349104828)
-37.96902883807015,145.28891578181887,51,POINT (145.28891578181887 -37.96902883807015)
-37.966211152864034,145.0236958445996,36,POINT (145.0236958445996 -37.966211152864034)
-37.83565864037866,145.18909247783085,48,POINT (145.18909247783085 -37.83565864037866)
-37.909423375436305,145.1112239314054,83,POINT (145.1112239314054 -37.909423375436305)
-38.009676213340605,144.891732355624,81,POINT (144.891732355624 -38.009676213340605)
-37.802277928689165,144.81074728785453,68,POINT (144.81074728785453 -37.802277928689165)
-37.83468387432922,144.94513043242534,91,POINT (144.94513043242534 -37.83468387432922)
-38.0090640395432,144.94161309646606,62,POINT (144.94161309646606 -38.0090640395432)
-38.135662311602424,145.2370430405292,46,POINT (145.2370430405292 -38.135662311602424)
-38.049408520682725,144.98906132730355,65,POINT (144.98906132730355 -38.049408520682725)
-38.092131966230944,144.98276106203176,21,POINT (144.98276106203176 -38.092131966230944)
-37.920066874823235,144.95697475319525,70,POINT (144.95697475319525 -37.920066874823235)
-38.113356975341716,144.9178929398227,48,POINT (144.9178929398227 -38.113356975341716)
-37.97669598721683,145.13879108033194,85,POINT (145.13879108033194 -37.97669598721683)
-37.85393932113861,145.17525995954605,2,POINT (145.17525995954605 -37.85393932113861)
-37.80307047414718,145.30286357116105,20,POINT (145.30286357116105 -37.80307047414718)
-37.82423667178117,145.04795602982432,3,POINT (145.04795602982432 -37.82423667178117)
-37.782829829082125,144.94357922142694,68,POINT (144.94357922142694 -37.782829829082125)
-38.00246738039057,144.9674620787227,28,POINT (144.9674620787227 -38.00246738039057)
-37.925979421160925,144.81052937775866,42,POINT (144.81052937775866 -37.925979421160925)
-37.843204836526546,144.77292921721306,93,POINT (144.77292921721306 -37.843204836526546)
-37.900452963602426,145.0749170150659,44,POINT (145.0749170150659 -37.900452963602426)
-37.911255495225426,144.82299260031533,45,POINT (144.82299260031533 -37.911255495225426)
-37.94751790821294,145.1417639579363,13,POINT (145.1417639579363 -37.94751790821294)
-37.99831222308759,144.89189055782825,4,POINT (144.89189055782825 -37.99831222308759)
-37.90496302534698,144.95230067148853,5,POINT (144.95230067148853 -37.90496302534698)
-37.911189998774766,145.00617153871013,67,POINT (145.00617153871013 -37.911189998774766)
-38.002310199055145,144.6673241823306,22,POINT (144.6673241823306 -38.002310199055145)
-38.031826371233954,145.105715581236,66,POINT (145.105715581236 -38.031826371233954)
-37.92574011121015,144.9743629045825,63,POINT (144.9743629045825 -37.92574011121015)
-37.915922755998636,144.6944938072121,80,POINT (144.6944938072121 -37.915922755998636)
-37.8316332133112,145.2221168840354,43,POINT (145.2221168840354 -37.8316332133112)
-37.9577575384888,144.88895332812763,32,POINT (144.88895332812763 -37.9577575384888)
-37.85634011086912,144.6758059005498,59,POINT (144.6758059005498 -37.85634011086912)
-37.86505953110182,144.98772068763793,71,POINT (144.98772068763793 -37.86505953110182)
-37.88569532332963,145.0029506524978,50,POINT (145.0029506524978 -37.88569532332963)
-37.89407135419876,145.16194690506302,54,POINT (145.16194690506302 -37.89407135419876)
-37.888525618655976,144.93149489452028,29,POINT (144.93149489452028 -37.888525618655976)
-37.79714204674334,145.27370748192652,96,POINT (145.27370748192652 -37.79714204674334)
-37.89746862573699,144.69296478897485,38,POINT (144.69296478897485 -37.89746862573699)
-37.85914924134408,144.7850263100356,66,POINT (144.7850263100356 -37.85914924134408)
-37.98231490721617,145.09303326857463,9,POINT (145.09303326857463 -37.98231490721617)
-37.989794233356996,145.19582265039966,54,POINT (145.19582265039966 -37.989794233356996)
-38.05486683554754,144.7262149832731,4,POINT (144.7262149832731 -38.05486683554754)
-37.79334417658726,144.91852807738087,83,POINT (144.91852807738087 -37.79334417658726)
-37.819033597563596,144.97188350150967,43,POINT (144.97188350150967 -37.819033597563596)
-37.8845771511461,145.27177492635988,13,POINT (145.27177492635988 -37.8845771511461)
-37.79519438210234,145.01761465095115,42,POINT (145.01761465095115 -37.79519438210234)
-38.082788325013304,145.21007371203618,49,POINT (145.21007371203618 -38.082788325013304)
-37.92050378683248,145.08313235441113,81,POINT (145.08313235441113 -37.92050378683248)
-37.897030823887384,145.00680735954472,92,POINT (145.00680735954472 -37.897030823887384)
-37.913878030951885,145.24644221013065,92,POINT (145.24644221013065 -37.913878030951885)
-37.88456963774267,145.1354271782912,38,POINT (145.1354271782912 -37.88456963774267)
-37.952249929373465,144.99472443269823,67,POINT (144.99472443269823 -37.952249929373465)
-37.76534696309323,144.88516381156504,16,POINT (144.88516381156504 -37.76534696309323)
-37.94706628384135,145.02628481769605,62,POINT (145.02628481769605 -37.94706628384135)
-37.91859533230579,144.72352923646926,73,POINT (144.72352923646926 -37.91859533230579)
-38.0140085326551,144.86556065204195,36,POINT (144.86556065204195 -38.0140085326551)
-37.97479227395504,144.77234232082236,20,POINT (144.77234232082236 -37.97479227395504)
-37.930825869731414,144.9410948283865,52,POINT (144.9410948283865 -37.930825869731414)
-37.829484756382534,145.00720119042205,89,POINT (145.00720119042205 -37.829484756382534)
-37.94028963625994,145.2015173794499,6,POINT (145.2015173794499 -37.94028963625994)
-37.87860436079083,144.71595834105997,15,POINT (144.71595834105997 -37.87860436079083)
-37.85606051206759,145.04412140482964,30,POINT (145.04412140482964 -37.85606051206759)
-37.83216501262899,145.25202848668357,8,POINT (145.25202848668357 -37.83216501262899)
-38.057207507519195,145.2735896708953,9,POINT (145.2735896708953 -38.057207507519195)
-37.93146685582682,145.0098240823684,61,POINT (145.0098240823684 -37.93146685582682)
-37.987424118186006,145.1485736492734,61,POINT (145.1485736492734 -37.987424118186006)
-37.84079473282784,145.29936814867284,38,POINT (145.29936814867284 -37.84079473282784)
-37.90744913749547,145.00284385093758,8,POINT (145.00284385093758 -37.90744913749547)
-37.84074427479941,145.17370289726577,97,POINT (145.17370289726577 -37.84074427479941)
-37.87687314762272,144.83955197782086,92,POINT (144.83955197782086 -37.87687314762272)
-38.02642410904263,144.64232303040384,60,POINT (144.64232303040384 -38.02642410904263)
-37.89575503696116,145.01289454256337,56,POINT (145.01289454256337 -37.89575503696116)
-37.8487993914497,145.29466999426904,21,POINT (145.29466999426904 -37.8487993914497)
-37.80941802769234,145.12744608827578,9,POINT (145.12744608827578 -37.80941802769234)
-37.93780133460371,145.09345406976507,89,POINT (145.09345406976507 -37.93780133460371)
-37.86524628842241,145.04425879847167,13,POINT (145.04425879847167 -37.86524628842241)
-37.9184963589364,144.78683837140792,12,POINT (144.78683837140792 -37.9184963589364)
-37.914127236557434,145.1149873989256,77,POINT (145.1149873989256 -37.914127236557434)
-38.01698602503223,144.87699307129787,18,POINT (144.87699307129787 -38.01698602503223)
-37.95716500481569,145.09988076341762,37,POINT (145.09988076341762 -37.95716500481569)
-37.95088318413448,144.95818721954623,28,POINT (144.95818721954623 -37.95088318413448)
-38.037452530996454,145.027113580687,20,POINT (145.027113580687 -38.037452530996454)
-37.854983062091065,144.9929722165564,78,POINT (144.9929722165564 -37.854983062091065)
-37.947775274928276,144.71952447315275,11,POINT (144.71952447315275 -37.947775274928276)
-38.01303375613315,144.84976772493843,49,POINT (144.84976772493843 -38.01303375613315)
-37.85539556671789,145.0916282461433,77,POINT (145.0916282461433 -37.85539556671789)
-37.9082203778225,144.87326188329035,95,POINT (144.87326188329035 -37.9082203778225)
-37.99091070615703,145.02700754110032,75,POINT (145.02700754110032 -37.99091070615703)
-37.78146275629061,144.76596659816997,47,POINT (144.76596659816997 -37.78146275629061)
-37.79156783601219,145.3176544677781,96,POINT (145.3176544677781 -37.79156783601219)
-37.816311445276966,145.03633417221255,31,POINT (145.03633417221255 -37.816311445276966)
-37.99471115007654,144.96584966604098,2,POINT (144.96584966604098 -37.99471115007654)
-37.9197687252879,144.86229095780803,12,POINT (144.86229095780803 -37.9197687252879)
-37.847912474183346,144.97681197031858,87,POINT (144.97681197031858 -37.847912474183346)
-37.90669369985352,144.82684672829387,89,POINT (144.82684672829387 -37.90669369985352)
-37.82271010427798,145.0836175097681,50,POINT (145.0836175097681 -37.82271010427798)
-37.93568365223124,145.27461605819295,68,POINT (145.27461605819295 -37.93568365223124)
-37.83247293642684,145.13547228269786,71,POINT (145.13547228269786 -37.83247293642684)
-37.778324517252614,144.79939498636708,88,POINT (144.79939498636708 -37.778324517252614)
-37.994142940764874,145.00913372483177,87,POINT (145.00913372483177 -37.994142940764874)
-37.89741191571076,144.9781996572724,51,POINT (144.9781996572724 -37.89741191571076)
-37.81479558935939,145.29529795895232,52,POINT (145.29529795895232 -37.81479558935939)
-37.83182590268612,145.28975162780716,33,POINT (145.28975162780716 -37.83182590268612)
-38.04409887125561,144.99358004194877,13,POINT (144.99358004194877 -38.04409887125561)
-37.82503406637837,144.99621979619855,90,POINT (144.99621979619855 -37.82503406637837)
-37.9207920581086,144.94690738663564,35,POINT (144.94690738663564 -37.9207920581086)
-37.93504862814531,144.70435498118107,12,POINT (144.70435498118107 -37.93504862814531)
-37.946827066433364,145.04647790177907,16,POINT (145.04647790177907 -37.946827066433364)
-37.81805579573068,145.0030654320277,2,POINT (145.0030654320277 -37.81805579573068)
-37.94170426665661,145.3073837784248,85,POINT (145.3073837784248 -37.94170426665661)
-37.99630401222704,144.69007755263326,60,POINT (144.69007755263326 -37.99630401222704)
-37.99269213535467,145.10225881911703,84,POINT (145.10225881911703 -37.99269213535467)
-37.85183162245768,144.99884378687395,20,POINT (144.99884378687395 -37.85183162245768)
-37.945696008134945,144.985689166861,45,POINT (144.985689166861 -37.945696008134945)
-38.06027073224211,144.76744008291803,98,POINT (144.76744008291803 -38.06027073224211)
-37.92827670625287,145.13293808573857,13,POINT (145.13293808573857 -37.92827670625287)
-37.784296755743604,145.33482315483315,84,POINT (145.33482315483315 -37.784296755743604)
-37.83258587742304,144.86632527067573,74,POINT (144.86632527067573 -37.83258587742304)
-37.974056600147335,144.8892639063195,93,POINT (144.8892639063195 -37.974056600147335)
-38.01604267934433,144.76172675443803,52,POINT (144.76172675443803 -38.01604267934433)
-37.8176648449618,145.13423223829912,75,POINT (145.13423223829912 -37.8176648449618)
-37.85462218398905,144.89837170664947,59,POINT (144.89837170664947 -37.85462218398905)
-37.82660584971047,144.85160009527547,19,POINT (144.85160009527547 -37.82660584971047)
-37.99547723070103,144.7416646360659,56,POINT (144.7416646360659 -37.99547723070103)
-37.93731616927249,144.9082130402155,25,POINT (144.9082130402155 -37.93731616927249)
-37.88417161398757,144.8208712330004,11,POINT (144.8208712330004 -37.88417161398757)
-37.801117140246284,145.07786829062323,84,POINT (145.07786829062323 -37.801117140246284)
-37.92898322272767,144.9273840765269,60,POINT (144.9273840765269 -37.92898322272767)
-37.86968345418472,144.80601864534583,44,POINT (144.80601864534583 -37.86968345418472)
-38.05399818905056,144.79998465052276,87,POINT (144.79998465052276 -38.05399818905056)
-37.96447748873764,145.06378835405417,42,POINT (145.06378835405417 -37.96447748873764)
